P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CP_R
1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,3,,,,,5,6,,7,,,8,14,,,9,
,,,,,,5,6,,7,,,8,14,,,9,
,,17,18,,20,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,24,6,,7,,,8,14,,,9,
,,,,,,25,6,,7,,,8,14,,,9,
,,,,,,26,6,,7,,,8,14,,,9,
,,,,,,27,6,,7,,,8,14,,,9,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,29,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,46,,47,,,48,14,,45,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,74,18,,20,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,61,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,35,36,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,38,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,41,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,46,,47,,,48,14,,50,,
,,,,,,,46,,47,,,48,14,,51,,
,,,,,,,46,,47,,,48,14,,52,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,71,,,54,,,
,,,,,,,,,,,,,,,,,
,,,,,,,57,,58,,,59,14,,,,56
,,,,,,,,,,,,,,,,,
,,,,,,,57,,58,,,59,14,,,,66
,,,,,,,57,,58,,,59,14,,,,62
,,,,,,,57,,58,,,59,14,,,,63
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,71,,,68,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,73,,,,,,
