inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,lit,num,rcb,opm,se,fimse,ab_p,fc_p,entao,opr,repita,fimrepita,fim,$
s2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,ACEITO
,s4,,,,,,,,,,,,,,,,,,,,,,,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s15,,s10,
,,s19,,,,s21,s22,s23,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,r2
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s15,,s10,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s15,,s10,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s15,,s10,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s15,,s10,
,,,,,,,,,,,,,,,,,,,,,,,,r38
,,,,s28,,,,,,,,,,,,,,,,,,,,
,,,,s33,,,,,,,s31,s32,,,,,,,,,,,,
,,,,,,,,,,,,,s34,,,,,,,,,,,
,,,,s13,,,,,s11,s12,,,,,s16,s49,,,,,,,,
,,,,,,,,,,,,,,,,,s53,,,,,,,
,,,,,,,,,,,,,,,,,s67,,,,,,,
,,,,r3,,,,,r3,r3,,,,,r3,,,,,,r3,,r3,
,,s19,,,,s21,s22,s23,,,,,,,,,,,,,,,,
,,,s75,,,,,,,,,,,,,,,,,,,,,
,,,,s65,,,,,,,,,,,,,,,,,,,,
,,,,r9,,,,,,,,,,,,,,,,,,,,
,,,,r10,,,,,,,,,,,,,,,,,,,,
,,,,r11,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,r12
,,,,,,,,,,,,,,,,,,,,,,,,r18
,,,,,,,,,,,,,,,,,,,,,,,,r24
,,,,,,,,,,,,,,,,,,,,,,,,r32
,,,s44,,,,,,,,,,,,,,,,,,,,,
,,,s30,,,,,,,,,,,,,,,,,,,,,
,,,,r14,,,,,r14,r14,,,,,r14,r14,,,,,r14,r14,r14,
,,,r15,,,,,,,,,,,,,,,,,,,,,
,,,r16,,,,,,,,,,,,,,,,,,,,,
,,,r17,,,,,,,,,,,,,,,,,,,,,
,,,,s42,,,,,,,,s43,,,,,,,,,,,,
,,,s39,,,,,,,,,,,,,,,,,,,,,
,,,r21,,,,,,,,,,,s40,,,,,,,,,,
,,,,s65,,,,,,,,,,,,,,,,,,,,
,,,r7,,,,,,,,,,,,,,,,,,,,,
,,,,r19,,,,,r19,r19,,,,,r19,r19,,,,,r19,r19,r19,
,,,,s42,,,,,,,,s43,,,,,,,,,,,,
,,,r20,,,,,,,,,,,,,,,,,,,,,
,,,r22,,,,,,,,,,,r22,,,,r22,,r22,,,,
,,,r23,,,,,,,,,,,r23,,,,r23,,r23,,,,
,,,,r13,,,,,r13,r13,,,,,r13,r13,,,,,r13,r13,r13,
,,,,r25,,,,,r25,r25,,,,,r25,r25,,,,,r25,r25,r25,
,,,,s13,,,,,s11,s12,,,,,s16,s49,,,,,,,,
,,,,s13,,,,,s11,s12,,,,,s16,s49,,,,,,,,
,,,,s13,,,,,s11,s12,,,,,s16,s49,,,,,,,,
,,,,r31,,,,,r31,r31,,,,,r31,r31,,,,,r31,r31,r31,
,,,,r28,,,,,r28,r28,,,,,r28,r28,,,,,r28,r28,r28,
,,,,r29,,,,,r29,r29,,,,,r29,r29,,,,,r29,r29,r29,
,,,,r30,,,,,r30,r30,,,,,r30,r30,,,,,r30,r30,r30,
,,,,s42,,,,,,,,s43,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,s55,,,,,,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,,s60,,
,,,,r33,,,,,r33,r33,,,,,r33,,,,,,r33,,r33,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,,s60,,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,,s60,,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,,s60,,
,,,,r37,,,,,r37,r37,,,,,r37,,,,,,r37,,r37,
,,,s64,,,,,,,,,,,,,,,,,,,,,
,,,,r35,,,,,r35,r35,,,,,r35,,,,,,r35,,r35,
,,,,r36,,,,,r36,r36,,,,,r36,,,,,,r36,,r36,
,,r6,,,,r6,r6,r6,,,,,,,,,,,,,,,,
,,,r8,,s37,,,,,,,,,,,,,,,,,,,
,,,,r34,,,,,r34,r34,,,,,r34,,,,,,r34,,r34,
,,,,s42,,,,,,,,s43,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,s69,,,,,,
,,,,,,,,,,,,,,,,,,,s70,,,,,
,,,,r26,,,,,r26,r26,,,,,r26,r26,,,,,,,,
,,,,,,,,,,,,,,,,,,,,s72,,,,
,,,,s42,,,,,,,,s43,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,r27,,,,,,
,,,,r4,,,,,r4,r4,,,,,r4,,,,,,r4,,r4,
,,,,r5,,,,,r5,r5,,,,,r5,,,,,,r5,,r5,
